State,positive,totalTestResults,death,Has5gCoverage,Population,SquareMiles(LandArea),Mortality,PositiveOverTotal,PopDens,field11,field12,Cases Per Capita,Total Positives Per Capita
Alaska,319,9895,9,No,"731,545","570,641",0.028213166,0.032238504,1.281970626,,,0.00055902,4.40691E-08
Alabama,4837,45712,154,Yes,"4,903,185","50,750",0.031837916,0.105814666,96.61448276,,"570,641",0.095310345,2.15808E-08
Arkansas,1781,24209,40,No,"3,017,825","52,075",0.022459293,0.073567681,57.95151224,,"261,914",0.034200672,2.43777E-08
Arizona,4929,52990,184,Yes,"7,278,717","113,642",0.037330087,0.09301755,64.04953274,,"155,973",0.043373049,1.27794E-08
California,30333,280900,1166,Yes,"39,512,223","155,973",0.038439983,0.107985048,253.3273259,,"145,556",0.194475967,2.73295E-09
Colorado,9433,44606,411,Yes,"5,758,736","103,730",0.043570444,0.211473793,55.51659115,,"121,365",0.090938012,3.67223E-08
Connecticut,17550,58213,1086,No,"3,565,287","4,845",0.061880342,0.301479051,735.8693498,,"113,642",3.622291022,8.45595E-08
Delaware,2538,14794,67,No,"973,764","1,955",0.026398739,0.171556036,498.0890026,,"109,806",1.298209719,1.76178E-07
Florida,25996,256079,781,Yes,"21,477,737","53,997",0.030043084,0.101515548,397.757968,,"103,730",0.481434154,4.72655E-09
Georgia,18301,79933,687,Yes,"10,617,423","57,919",0.037538932,0.228954249,183.3150262,,"97,105",0.315975759,2.1564E-08
Hawaii,574,23470,9,No,"1,415,872","6,423",0.015679443,0.024456753,220.4378017,,"96,003",0.08936634,1.72733E-08
Iowa,2902,24550,75,Yes,"3,155,070","55,875",0.025844245,0.118207739,56.46657718,,"82,751",0.05193736,3.7466E-08
Idaho,1668,16869,44,Yes,"1,787,065","82,751",0.026378897,0.098879602,21.59569069,,"82,168",0.020156856,5.53307E-08
Illinois,30357,143318,1290,Yes,"12,671,821","55,593",0.042494318,0.211815683,227.939147,,"81,823",0.546057957,1.67155E-08
Indiana,11210,61142,562,Yes,"6,732,219","35,870",0.050133809,0.183343692,187.6838305,,"79,617",0.312517424,2.72338E-08
Kansas,1849,18130,92,No,"2,913,314","81,823",0.049756625,0.101985659,35.60507437,,"76,878",0.022597558,3.50068E-08
Kentucky,2707,32225,144,Yes,"4,467,673","39,732",0.053195419,0.084003103,112.4452079,,"75,898",0.068131481,1.88024E-08
Louisiana,23928,141504,1296,Yes,"4,648,794","43,566",0.054162487,0.169097693,106.7069274,,"68,994",0.549235642,3.63745E-08
Massachusetts,38077,162241,1706,Yes,"6,949,503","30,865",0.04480395,0.234694066,225.1580431,,"68,898",1.233662725,3.37713E-08
Maryland,12830,67891,486,No,"6,045,680","9,775",0.037879969,0.188979393,618.4838875,,"68,679",1.312531969,3.12586E-08
Maine,867,14943,34,No,"1,344,212","30,865",0.039215686,0.058020478,43.55133647,,"66,582",0.02809007,4.31632E-08
Michigan,31424,109661,2391,Yes,"9,986,857","56,539",0.07608834,0.28655584,176.6366048,,"57,919",0.555793346,2.86933E-08
Minnesota,2356,45716,134,Yes,"5,639,632","79,617",0.056876061,0.051535567,70.83452027,,"56,539",0.02959167,9.13811E-09
Missouri,5667,53909,176,Yes,"6,137,428","68,898",0.031056997,0.105121594,89.07991524,,"55,875",0.082252025,1.7128E-08
Mississippi,4274,39065,159,No,"2,976,149","46,914",0.037201685,0.109407398,63.43839792,,"55,593",0.091102869,3.67614E-08
Montana,433,10898,10,No,"1,068,778","145,556",0.023094688,0.039732061,7.342727198,,"54,314",0.0029748,3.71752E-08
North Carolina,6493,78772,172,Yes,"10,488,084","48,718",0.026490066,0.082427766,215.2814976,,"53,997",0.133277228,7.85918E-09
North Dakota,585,13630,10,No,"762,062","68,994",0.017094017,0.042920029,11.04533728,,"52,075",0.008478998,5.63209E-08
Nebraska,1287,14575,28,Yes,"1,934,408","76,878",0.021756022,0.088301887,25.16204896,,"50,750",0.01674081,4.5648E-08
New Hampshire,1342,13424,38,No,"1,359,711","7,419",0.028315946,0.099970203,183.2741609,,"48,718",0.180886912,7.35231E-08
New Jersey,85301,170688,4202,Yes,"8,882,190","7,419",0.049260853,0.499748078,1197.221998,,"47,224",11.49764119,5.62641E-08
New Mexico,1798,36632,53,No,"2,096,829","121,365",0.029477197,0.049082769,17.27704857,,"46,914",0.014814815,2.34081E-08
Nevada,3728,31598,155,Yes,"3,080,156","109,806",0.041577253,0.117982151,28.05088975,,"44,820",0.033950786,3.8304E-08
New York,242786,617555,13869,Yes,"19,453,561","47,224",0.057124381,0.393140692,411.9422539,,"43,566",5.141157039,2.02092E-08
Ohio,11292,86989,471,Yes,"11,689,100","40,953",0.041710946,0.129809516,285.427197,,"41,220",0.275730716,1.11052E-08
Oklahoma,2599,35565,140,Yes,"3,956,971","68,679",0.053866872,0.073077464,57.61544286,,"40,953",0.037842718,1.8468E-08
Oregon,1910,39038,74,No,"4,217,737","96,003",0.038743455,0.048926687,43.9333875,,"39,732",0.019895212,1.16002E-08
Pennsylvania,32284,158854,1112,Yes,"12,801,989","44,820",0.034444307,0.203230639,285.6311691,,"39,598",0.720303436,1.58749E-08
Rhode Island,4706,34699,150,Yes,"1,059,361","1,214",0.031874203,0.135623505,872.6202636,,"35,870",3.876441516,1.28024E-07
South Carolina,4377,40480,120,No,"5,148,714","30,111",0.027416038,0.10812747,170.9911328,,"30,865",0.14536216,2.10009E-08
South Dakota,1635,12062,7,Yes,"884,659","75,898",0.004281346,0.13554966,11.65589344,,"30,111",0.02154207,1.53222E-07
Tennessee,7070,97098,148,Yes,"6,833,174","41,220",0.020933522,0.072813034,165.7732654,,"24,087",0.17151868,1.06558E-08
Texas,18923,182710,477,Yes,"28,995,881","261,914",0.02520742,0.103568497,110.7076407,,"9,775",0.072248906,3.57183E-09
Utah,3069,63555,27,Yes,"3,205,958","82,168",0.008797654,0.048288884,39.01711128,,"9,249",0.037350307,1.50622E-08
Virginia,8537,54733,277,Yes,"8,535,519","39,598",0.032446995,0.155975371,215.5542957,,"8,969",0.215591697,1.82737E-08
Vermont,812,12726,38,No,"623,989","9,249",0.04679803,0.063806381,67.46556384,,"7,838",0.087793275,1.02256E-07
Washington,11802,135706,624,Yes,"7,614,893","66,582",0.052872395,0.086967415,114.3686432,,"7,419",0.177255114,1.14207E-08
Wisconsin,4346,49669,220,Yes,"5,822,434","54,314",0.050621261,0.087499245,107.1995066,,"6,423",0.080016202,1.50279E-08
West Virginia,863,20031,18,No,"1,792,147","24,087",0.020857474,0.043083221,74.4030805,,"4,845",0.035828455,2.404E-08
Wyoming,309,7281,2,No,"578,759","97,105",0.006472492,0.042439225,5.960135935,,,,